marker,chrom,pos
rh_chr15_18480191,chr15,21728990
rh_chr15_18688959,chr15,21937864
rh_chr15_18821643,chr15,22069186
rh_chr15_18931494,chr15,22169100
rh_chr15_19173163,chr15,22411438
rh_chr15_19261933,chr15,22500184
rh_chr15_1928239,chr15,1982160
rh_chr15_19600528,chr15,22846419
rh_chr15_19956945,chr15,23199034
rh_chr15_20158207,chr15,23400348
rh_chr15_2413245,chr15,2446040
rh_chr15_2868330,chr15,2903515
rh_chr15_2990680,chr15,3019716
rh_chr15_482675,chr15,529374
rh_chr15_5536174,chr15,6840268
rh_chr15_5694415,chr15,6997518
rh_chr15_6458112,chr15,9549013
rh_chr15_6901504,chr15,9934598
rh_chr15_6996975,chr15,10029977
rh_chr15_8267292,chr15,11302324
rh_chr15_8357773,chr15,11391578
rh_chr15_9562659,chr15,12574688
rh_chr15_9660835,chr15,12672764
rh_chr15_9799495,chr15,12814475
rh_chr15_9863712,chr15,12879602
rh_chr15_9993215,chr15,13008940
rh_chr16_10292798,chr16,14300158
rh_chr16_1067628,chr16,1055527
rh_chr16_11108000,chr16,13778439
rh_chr16_1148011,chr16,1136010
rh_chr16_12037326,chr16,15380477
rh_chr16_12698705,chr16,16039938
rh_chr16_12729188,chr16,16070603
rh_chr16_1341063,chr16,1330638
rh_chr16_13500169,chr16,16840661
rh_chr16_13647716,chr16,16988211
rh_chr16_14056705,chr16,17385062
rh_chr16_14617522,chr16,17904582
rh_chr16_14911808,chr16,18199391
rh_chr16_14964416,chr16,18251942
rh_chr16_15611288,chr16,18898672
rh_chr16_15708354,chr16,18994366
rh_chr16_15813994,chr16,19100007
rh_chr16_16216489,chr16,19502801
rh_chr16_16435327,chr16,19720640
rh_chr16_17156812,chr16,20429765
rh_chr16_1727633,chr16,1714826
rh_chr16_17330464,chr16,20603053
rh_chr16_1806434,chr16,1793398
rh_chr16_18232369,chr16,21537656
rh_chr16_19027656,chr16,22456750
rh_chr16_19266135,chr16,22695070
rh_chr16_19529525,chr16,22956795
rh_chr16_19830398,chr16,23275440
rh_chr16_19924082,chr16,23368766
rh_chr16_20248493,chr16,23695259
rh_chr16_20304713,chr16,23750596
rh_chr16_20476615,chr16,23922341
rh_chr16_20666264,chr16,24102024
rh_chr16_20724188,chr16,24159874
rh_chr16_20813029,chr16,24254516
rh_chr16_20908774,chr16,24350048
rh_chr16_20978919,chr16,24419136
rh_chr16_21094017,chr16,24534286
rh_chr16_21189350,chr16,24630691
rh_chr16_2212134,chr16,2183364
rh_chr16_22246438,chr16,26272149
rh_chr16_22482333,chr16,26506001
rh_chr16_22580044,chr16,26603620
rh_chr16_22676335,chr16,26698771
rh_chr16_226853,chr16,234046
rh_chr16_22751612,chr16,26773609
rh_chr16_22811338,chr16,26833237
rh_chr16_22877339,chr16,26900049
rh_chr16_23084690,chr16,27107422
rh_chr16_23164495,chr16,27187136
rh_chr16_23327502,chr16,27349525
rh_chr16_23486995,chr16,27508272
rh_chr16_2376878,chr16,2348051
rh_chr16_3007610,chr16,2984418
rh_chr16_3077015,chr16,3053057
rh_chr16_3142469,chr16,3117908
rh_chr16_335665,chr16,342828
rh_chr16_3648,chr16,8077
rh_chr16_388379,chr16,395500
rh_chr16_4758085,chr16,3875176
rh_chr16_4903556,chr16,4034839
rh_chr16_5070029,chr16,4197185
rh_chr16_5309992,chr16,4436690
rh_chr16_5362647,chr16,4489018
rh_chr16_5479328,chr16,4605316
rh_chr16_596324,chr16,598758
rh_chr16_6018898,chr16,5145068
rh_chr16_6070066,chr16,5196185
rh_chr16_6589347,chr16,5686660
rh_chr16_6693016,chr16,5789856
rh_chr16_843485,chr16,836694
rh_chr16_8776259,chr16,7870672
rh_chr16_8807936,chr16,7889198
rh_chr16_911072,chr16,904327
rh_chr16_9592553,chr16,8688868
rh_chr16_976496,chr16,965223
rh_chr16_9817859,chr16,8913440
rh_chr17_10013916,chr17,10286394
rh_chr17_1026884,chr17,1351247
rh_chr17_10298694,chr17,10571245
rh_chr17_10369486,chr17,10642186
rh_chr17_10746329,chr17,11018810
rh_chr17_1114348,chr17,1438618
rh_chr17_11268517,chr17,11533530
rh_chr17_11747237,chr17,12023856
rh_chr17_11961661,chr17,12238505
rh_chr17_12164305,chr17,12428871
rh_chr17_12220808,chr17,12485625
rh_chr17_12330680,chr17,12596313
rh_chr17_1237387,chr17,1561951
rh_chr17_12396147,chr17,12658978
rh_chr17_12640993,chr17,12899735
rh_chr17_13928628,chr17,14925010
rh_chr17_13991916,chr17,14988356
rh_chr17_1413957,chr17,1739838
rh_chr17_141521,chr17,478332
rh_chr17_15046000,chr17,16800074
rh_chr17_15672031,chr17,17498422
rh_chr17_1629617,chr17,1955090
rh_chr17_16303050,chr17,18124112
rh_chr17_16552770,chr17,18367924
rh_chr17_16814803,chr17,18663079
rh_chr17_17076170,chr17,18924898
rh_chr17_17142778,chr17,18991246
rh_chr17_17291745,chr17,19142469
rh_chr17_1756458,chr17,2079722
rh_chr17_17582924,chr17,19428449
rh_chr17_17744746,chr17,19585948
rh_chr17_17955492,chr17,19796194
rh_chr17_18015932,chr17,19857074
rh_chr17_1846156,chr17,2169425
rh_chr17_203321,chr17,540280
rh_chr17_2051197,chr17,2374459
rh_chr17_2143741,chr17,2448792
rh_chr17_2242880,chr17,2558287
rh_chr17_2331425,chr17,2646738
rh_chr17_2386884,chr17,2703524
rh_chr17_2443257,chr17,2758406
rh_chr17_2504924,chr17,2819806
rh_chr17_287812,chr17,624747
rh_chr17_3018336,chr17,3308036
rh_chr17_3492286,chr17,3776222
rh_chr17_3672966,chr17,3956380
rh_chr17_394787,chr17,731472
rh_chr17_4131742,chr17,4416418
rh_chr17_4205195,chr17,4490224
rh_chr17_4287538,chr17,4563028
rh_chr17_4418396,chr17,4694148
rh_chr17_4524306,chr17,4800022
rh_chr17_4615128,chr17,4890425
rh_chr17_4713215,chr17,4988624
rh_chr17_4889129,chr17,5165118
rh_chr17_4966290,chr17,5241972
rh_chr17_5060931,chr17,5325484
rh_chr17_5258199,chr17,5524899
rh_chr17_5357866,chr17,5624308
rh_chr17_5447096,chr17,5712269
rh_chr17_5583408,chr17,5846306
rh_chr17_565468,chr17,900832
rh_chr17_5707009,chr17,5971354
rh_chr17_5893163,chr17,6157608
rh_chr17_5999935,chr17,6264130
rh_chr17_6121150,chr17,6385478
rh_chr17_6207888,chr17,6472224
rh_chr17_6279609,chr17,6543768
rh_chr17_640103,chr17,974828
rh_chr17_6429775,chr17,6693360
rh_chr17_6553174,chr17,6816566
rh_chr17_6623514,chr17,6886348
rh_chr17_6745403,chr17,7007848
rh_chr17_6981014,chr17,7245432
rh_chr17_7134878,chr17,7388117
rh_chr17_7192642,chr17,7445854
rh_chr17_7292907,chr17,7550518
rh_chr17_7355598,chr17,7613160
rh_chr17_7609398,chr17,7876153
rh_chr17_765729,chr17,1089590
rh_chr17_7695724,chr17,7962660
rh_chr17_7780366,chr17,8047420
rh_chr17_8069497,chr17,8335582
rh_chr17_8226581,chr17,8492134
rh_chr17_8307596,chr17,8577148
rh_chr17_8539748,chr17,8807341
rh_chr17_8608505,chr17,8876472
rh_chr17_8686547,chr17,8954501
rh_chr17_8750761,chr17,9018745
rh_chr17_888795,chr17,1212881
rh_chr17_8934947,chr17,9201879
rh_chr17_9005479,chr17,9272420
rh_chr17_9197188,chr17,9464089
rh_chr17_9353710,chr17,9621809
rh_chr17_9692661,chr17,9962126
rh_chr17_9938493,chr17,10210980
rh_chr18_10227176,chr18,10190212
rh_chr18_10304487,chr18,10267554
rh_chr18_10584610,chr18,10536568
rh_chr18_10762383,chr18,10713250
rh_chr18_10907482,chr18,10857078
rh_chr18_11045227,chr18,10994144
rh_chr18_11215764,chr18,11164730
rh_chr18_11286900,chr18,11235232
rh_chr18_11350114,chr18,11298336
rh_chr18_11419262,chr18,11367452
rh_chr18_1143128,chr18,1177528
rh_chr18_11482876,chr18,11431078
rh_chr18_11553491,chr18,11501376
rh_chr18_11614594,chr18,11562540
rh_chr18_12999959,chr18,12935466
rh_chr18_13105502,chr18,13040938
rh_chr18_13389611,chr18,13308282
rh_chr18_13446367,chr18,13365052
rh_chr18_1355284,chr18,1389558
rh_chr18_13686865,chr18,13605414
rh_chr18_13786964,chr18,13705382
rh_chr18_13860028,chr18,13778422
rh_chr18_14135632,chr18,14194638
rh_chr18_14215513,chr18,14274026
rh_chr18_14491995,chr18,14537600
rh_chr18_14551153,chr18,14596744
rh_chr18_14734468,chr18,14779766
rh_chr18_14788154,chr18,14833526
rh_chr18_14846541,chr18,14892118
rh_chr18_1535599,chr18,1569640
rh_chr18_1680517,chr18,1713866
rh_chr18_17295477,chr18,17802765
rh_chr18_17449458,chr18,17956442
rh_chr18_1782705,chr18,1816134
rh_chr18_18048055,chr18,18557226
rh_chr18_18227410,chr18,18732554
rh_chr18_18521209,chr18,19027429
rh_chr18_2022059,chr18,2052544
rh_chr18_20579251,chr18,22632452
rh_chr18_20761725,chr18,22815992
rh_chr18_2200869,chr18,2223976
rh_chr18_22082943,chr18,23488438
rh_chr18_22144736,chr18,23550138
rh_chr18_22284854,chr18,23690408
rh_chr18_22372187,chr18,23777442
rh_chr18_22455321,chr18,23860632
rh_chr18_22586109,chr18,23991175
rh_chr18_22656666,chr18,24061976
rh_chr18_227536,chr18,236372
rh_chr18_22829291,chr18,24234616
rh_chr18_2286800,chr18,2309950
rh_chr18_22955610,chr18,24359758
rh_chr18_23048890,chr18,24452537
rh_chr18_23201357,chr18,24604288
rh_chr18_23288982,chr18,24691838
rh_chr18_23351706,chr18,24754676
rh_chr18_23418352,chr18,24816674
rh_chr18_23578408,chr18,24976634
rh_chr18_23738824,chr18,25150212
rh_chr18_23887396,chr18,25297827
rh_chr18_24396473,chr18,25815701
rh_chr18_24556216,chr18,25977646
rh_chr18_24904198,chr18,26320637
rh_chr18_26302911,chr18,28549532
rh_chr18_2662553,chr18,2685550
rh_chr18_27803197,chr18,29743886
rh_chr18_27872983,chr18,29813310
rh_chr18_2813601,chr18,2836492
rh_chr18_28224774,chr18,30162116
rh_chr18_28307719,chr18,30245498
rh_chr18_30314724,chr18,32263952
rh_chr18_3084390,chr18,3105950
rh_chr18_31132460,chr18,33251940
rh_chr18_31185354,chr18,33302375
rh_chr18_31650949,chr18,33756994
rh_chr18_31885147,chr18,33991854
rh_chr18_3190122,chr18,3209604
rh_chr18_32680533,chr18,34788950
rh_chr18_32908620,chr18,35027937
rh_chr18_3299536,chr18,3318809
rh_chr18_33874740,chr18,35996542
rh_chr18_3402250,chr18,3421764
rh_chr18_34123552,chr18,36228374
rh_chr18_34381037,chr18,36486162
rh_chr18_34523455,chr18,36628029
rh_chr18_3488083,chr18,3503112
rh_chr18_3555950,chr18,3570866
rh_chr18_3752475,chr18,3755238
rh_chr18_3952793,chr18,3952729
rh_chr18_474745,chr18,479114
rh_chr18_582430,chr18,586397
rh_chr18_6012983,chr18,5999836
rh_chr18_6135846,chr18,6122188
rh_chr18_6229663,chr18,6216018
rh_chr18_6710920,chr18,6674269
rh_chr18_6936362,chr18,6918018
rh_chr18_70737,chr18,80452
rh_chr18_7076548,chr18,7058074
rh_chr18_7128961,chr18,7110264
rh_chr18_7185348,chr18,7166606
rh_chr18_721947,chr18,725878
rh_chr18_7445887,chr18,7427146
rh_chr18_7569505,chr18,7552498
rh_chr18_7653397,chr18,7636422
rh_chr18_7809270,chr18,7779620
rh_chr18_7997064,chr18,7967286
rh_chr18_823493,chr18,827425
rh_chr18_8237032,chr18,8205577
rh_chr18_8343849,chr18,8311356
rh_chr18_8494785,chr18,8461917
rh_chr18_8594348,chr18,8561738
rh_chr18_8759038,chr18,8727380
rh_chr18_8998759,chr18,8966638
rh_chr18_904255,chr18,908274
rh_chr18_9059804,chr18,9027542
rh_chr18_9339521,chr18,9308198
rh_chr18_9478149,chr18,9452806
rh_chr18_9598522,chr18,9573214
rh_chr18_9651215,chr18,9614374
rh_chr18_983057,chr18,986912
rh_chr18_9885500,chr18,9848594
rh_chr18_9976929,chr18,9939970
rh_chr19_10336006,chr19,10390915
rh_chr19_10514939,chr19,10573018
rh_chr19_10666680,chr19,10724926
rh_chr19_10724583,chr19,10781119
rh_chr19_10825978,chr19,10882483
rh_chr19_10968935,chr19,11019955
rh_chr19_11030882,chr19,11081731
rh_chr19_1219270,chr19,1242714
rh_chr19_1306780,chr19,1332862
rh_chr19_1367967,chr19,1394064
rh_chr19_14659354,chr19,15000219
rh_chr19_1471481,chr19,1499273
rh_chr19_14747580,chr19,14911855
rh_chr19_1612358,chr19,1641928
rh_chr19_16370721,chr19,19851234
rh_chr19_16452320,chr19,19769880
rh_chr19_16545270,chr19,19678437
rh_chr19_17622217,chr19,19381856
rh_chr19_17658056,chr19,19346067
rh_chr19_19077261,chr19,21635399
rh_chr19_19495933,chr19,22053256
rh_chr19_1954527,chr19,1985018
rh_chr19_19725625,chr19,22279463
rh_chr19_197793,chr19,228805
rh_chr19_19968859,chr19,22511212
rh_chr19_2036017,chr19,2066514
rh_chr19_2096267,chr19,2126816
rh_chr19_21475599,chr19,24000211
rh_chr19_21537562,chr19,24062161
rh_chr19_21589986,chr19,24114568
rh_chr19_22763652,chr19,25273722
rh_chr19_22967359,chr19,25502042
rh_chr19_23034666,chr19,25568777
rh_chr19_23614226,chr19,26143030
rh_chr19_2366639,chr19,2396602
rh_chr19_24285394,chr19,26803425
rh_chr19_24344947,chr19,26862844
rh_chr19_24442103,chr19,26957816
rh_chr19_24538531,chr19,27054448
rh_chr19_24632229,chr19,27148228
rh_chr19_2600280,chr19,2624802
rh_chr19_2689517,chr19,2714274
rh_chr19_271672,chr19,302666
rh_chr19_2847152,chr19,2870474
rh_chr19_3058726,chr19,3084843
rh_chr19_3112004,chr19,3138150
rh_chr19_3299138,chr19,3325460
rh_chr19_3372376,chr19,3398665
rh_chr19_3429612,chr19,3456832
rh_chr19_3532026,chr19,3558486
rh_chr19_3653862,chr19,3680058
rh_chr19_377073,chr19,408106
rh_chr19_4132489,chr19,4134550
rh_chr19_4492595,chr19,4468412
rh_chr19_4706082,chr19,4709581
rh_chr19_472320,chr19,500624
rh_chr19_4935010,chr19,4928112
rh_chr19_5003967,chr19,4997108
rh_chr19_5072068,chr19,5065203
rh_chr19_5230241,chr19,5221539
rh_chr19_5269,chr19,36252
rh_chr19_5314072,chr19,5305350
rh_chr19_5485618,chr19,5474348
rh_chr19_5807614,chr19,5792706
rh_chr19_5928605,chr19,5918402
rh_chr19_6154322,chr19,6141798
rh_chr19_6382258,chr19,6390141
rh_chr19_6602361,chr19,6610161
rh_chr19_6693425,chr19,6701164
rh_chr19_7055420,chr19,7062996
rh_chr19_7169706,chr19,7177086
rh_chr19_7238559,chr19,7246048
rh_chr19_7350707,chr19,7357250
rh_chr19_7474984,chr19,7480662
rh_chr19_7548460,chr19,7554200
rh_chr19_7695207,chr19,7700280
rh_chr19_8133480,chr19,8198904
rh_chr19_82358,chr19,112801
rh_chr19_8299444,chr19,8346400
rh_chr19_8367018,chr19,8413208
rh_chr19_8441912,chr19,8487804
rh_chr19_8566871,chr19,8627274
rh_chr19_8657020,chr19,8717064
rh_chr19_8733005,chr19,8793035
rh_chr19_8787547,chr19,8847590
rh_chr19_900536,chr19,927412
rh_chr19_9045752,chr19,9105911
rh_chr19_9151792,chr19,9211980
rh_chr19_9229826,chr19,9290016
rh_chr19_9486156,chr19,9542910
rh_chr19_9695699,chr19,9751294
rh_chr19_9748768,chr19,9804267
rh_chr19_984249,chr19,1008062
rh_chr2_10104598,chr02,11406490
rh_chr2_10312496,chr02,11614314
rh_chr2_1080658,chr02,1088846
rh_chr2_10978,chr02,21667
rh_chr2_11004272,chr02,12278604
rh_chr2_116408,chr02,127183
rh_chr2_13029837,chr02,14947932
rh_chr2_13537760,chr02,15456009
rh_chr2_13969416,chr02,15888218
rh_chr2_14184207,chr02,16102826
rh_chr2_14239122,chr02,16157650
rh_chr2_14464718,chr02,16381979
rh_chr2_14873799,chr02,16774494
rh_chr2_1503264,chr02,1509082
rh_chr2_1626662,chr02,1622076
rh_chr2_16603629,chr02,18505796
rh_chr2_16657933,chr02,18560152
rh_chr2_16741500,chr02,18643803
rh_chr2_17012389,chr02,18914661
rh_chr2_17246760,chr02,19213150
rh_chr2_17347640,chr02,19313737
rh_chr2_17478449,chr02,19443986
rh_chr2_1755729,chr02,1751071
rh_chr2_17720094,chr02,19685326
rh_chr2_17785364,chr02,19749544
rh_chr2_17916691,chr02,19879712
rh_chr2_18194652,chr02,20138593
rh_chr2_18448449,chr02,20392396
rh_chr2_18557687,chr02,20501616
rh_chr2_1876931,chr02,1880055
rh_chr2_2122762,chr02,2125572
rh_chr2_2263163,chr02,2265298
rh_chr2_2348470,chr02,2347870
rh_chr2_2688648,chr02,2694084
rh_chr2_2787199,chr02,2793594
rh_chr2_2912460,chr02,2918853
rh_chr2_3061567,chr02,3067966
rh_chr2_3271376,chr02,3281908
rh_chr2_328355,chr02,339127
rh_chr2_3371243,chr02,3392904
rh_chr2_3474971,chr02,3496660
rh_chr2_3531507,chr02,3553096
rh_chr2_3665247,chr02,3686664
rh_chr2_3759497,chr02,3780991
rh_chr2_3959655,chr02,3973629
rh_chr2_4094938,chr02,4108318
rh_chr2_4224825,chr02,4237466
rh_chr2_4288608,chr02,4303096
rh_chr2_4497054,chr02,4477824
rh_chr2_4599939,chr02,4581701
rh_chr2_4703733,chr02,4755869
rh_chr2_4825658,chr02,4877622
rh_chr2_583705,chr02,592022
rh_chr2_5870753,chr02,7218246
rh_chr2_5966830,chr02,7314037
rh_chr2_6129731,chr02,7477498
rh_chr2_6241099,chr02,7589664
rh_chr2_6490761,chr02,7838122
rh_chr2_6781830,chr02,8131489
rh_chr2_681324,chr02,689754
rh_chr2_7412824,chr02,8742972
rh_chr2_7474244,chr02,8804510
rh_chr2_7588304,chr02,8917800
rh_chr2_7651035,chr02,8980538
rh_chr2_7919124,chr02,9232602
rh_chr2_7999319,chr02,9312128
rh_chr2_8110161,chr02,9423392
rh_chr2_8206685,chr02,9519290
rh_chr2_8319548,chr02,9632158
rh_chr2_8433331,chr02,9743752
rh_chr2_8487996,chr02,9798434
rh_chr2_854531,chr02,862421
rh_chr2_8579012,chr02,9889342
rh_chr2_8709614,chr02,10019984
rh_chr2_9074768,chr02,10384906
rh_chr2_9127853,chr02,10437877
rh_chr2_953454,chr02,961592
rh_chr3_10121298,chr03,11113330
rh_chr3_10197802,chr03,11037248
rh_chr3_1041616,chr03,1045356
rh_chr3_10580137,chr03,10655948
rh_chr3_11252155,chr03,10005856
rh_chr3_11293038,chr03,9964986
rh_chr3_1252454,chr03,1243002
rh_chr3_13319654,chr03,14999797
rh_chr3_13417139,chr03,14902754
rh_chr3_14850509,chr03,13244865
rh_chr3_1497682,chr03,1488874
rh_chr3_1559837,chr03,1551348
rh_chr3_15846197,chr03,16495716
rh_chr3_15938806,chr03,16588900
rh_chr3_1725150,chr03,1716640
rh_chr3_17712785,chr03,18354211
rh_chr3_177780,chr03,187083
rh_chr3_17950996,chr03,18586728
rh_chr3_18324978,chr03,18960929
rh_chr3_1842464,chr03,1836717
rh_chr3_1905301,chr03,1899648
rh_chr3_19133207,chr03,19766910
rh_chr3_19297395,chr03,19931065
rh_chr3_19365074,chr03,19997456
rh_chr3_19690734,chr03,20311881
rh_chr3_1999793,chr03,1993640
rh_chr3_2101673,chr03,2093833
rh_chr3_2314233,chr03,2292483
rh_chr3_2430113,chr03,2409174
rh_chr3_2548013,chr03,2526998
rh_chr3_2671385,chr03,2650350
rh_chr3_271381,chr03,279516
rh_chr3_2764075,chr03,2742864
rh_chr3_2901369,chr03,2874692
rh_chr3_3143022,chr03,3116316
rh_chr3_3251513,chr03,3226495
rh_chr3_3385014,chr03,3359753
rh_chr3_342741,chr03,350664
rh_chr3_3488939,chr03,3463995
rh_chr3_3633235,chr03,3612248
rh_chr3_3781609,chr03,3760670
rh_chr3_3905978,chr03,3885026
rh_chr3_4019281,chr03,3998958
rh_chr3_4088612,chr03,4068410
rh_chr3_4217957,chr03,4197695
rh_chr3_4315306,chr03,4295171
rh_chr3_441478,chr03,449374
rh_chr3_4565569,chr03,4548718
rh_chr3_4822693,chr03,4829730
rh_chr3_4920649,chr03,4925960
rh_chr3_4988294,chr03,4993710
rh_chr3_5155501,chr03,5159530
rh_chr3_5232850,chr03,5236686
rh_chr3_5413458,chr03,5417150
rh_chr3_5507072,chr03,5510686
rh_chr3_5583374,chr03,5586495
rh_chr3_5699986,chr03,5703067
rh_chr3_5797319,chr03,5788019
rh_chr3_5885034,chr03,5875696
rh_chr3_6000617,chr03,5976622
rh_chr3_609816,chr03,617415
rh_chr3_6222769,chr03,6197920
rh_chr3_6426810,chr03,6398210
rh_chr3_6650857,chr03,6618364
rh_chr3_6848850,chr03,6817097
rh_chr3_6986623,chr03,6991311
rh_chr3_7073085,chr03,7080248
rh_chr3_7155917,chr03,7163069
rh_chr3_7220808,chr03,7227744
rh_chr3_736742,chr03,744419
rh_chr3_7472345,chr03,7478996
rh_chr3_7742797,chr03,7747792
rh_chr3_8256808,chr03,8276698
rh_chr3_8428406,chr03,8450848
rh_chr3_8604250,chr03,8624668
rh_chr3_8738055,chr03,8759160
rh_chr3_9162339,chr03,9199031
rh_chr3_9224651,chr03,9259354
rh_chr3_931142,chr03,934958
rh_chr3_9374964,chr03,9409722
rh_chr3_9592447,chr03,9573159
rh_chr4_1028787,chr04,1036222
rh_chr4_10789218,chr04,10808422
rh_chr4_11031511,chr04,11048669
rh_chr4_11238026,chr04,11255344
rh_chr4_11802988,chr04,11820022
rh_chr4_1187713,chr04,1194453
rh_chr4_130509,chr04,136244
rh_chr4_1307469,chr04,1314476
rh_chr4_1391400,chr04,1398308
rh_chr4_14162870,chr04,15205906
rh_chr4_14745243,chr04,15793656
rh_chr4_14809627,chr04,15858076
rh_chr4_14964966,chr04,16013408
rh_chr4_1584867,chr04,1591094
rh_chr4_16315879,chr04,17419378
rh_chr4_16491374,chr04,17594540
rh_chr4_1715906,chr04,1719418
rh_chr4_17799573,chr04,18896514
rh_chr4_17980355,chr04,19076907
rh_chr4_18311071,chr04,19406086
rh_chr4_1855396,chr04,1858856
rh_chr4_18700982,chr04,19786672
rh_chr4_19017335,chr04,20099548
rh_chr4_19487535,chr04,20568064
rh_chr4_1972782,chr04,1975916
rh_chr4_19762446,chr04,20840340
rh_chr4_19892780,chr04,20970687
rh_chr4_20004123,chr04,21083111
rh_chr4_20436338,chr04,21518434
rh_chr4_20739437,chr04,21819875
rh_chr4_20837957,chr04,21908505
rh_chr4_2096842,chr04,2099926
rh_chr4_21070680,chr04,22117578
rh_chr4_21130734,chr04,22065954
rh_chr4_21238665,chr04,21967816
rh_chr4_2200518,chr04,2203894
rh_chr4_22039056,chr04,23272992
rh_chr4_22127549,chr04,23361175
rh_chr4_22215506,chr04,23442352
rh_chr4_22272053,chr04,23498858
rh_chr4_22331368,chr04,23558412
rh_chr4_22548287,chr04,23774494
rh_chr4_22791294,chr04,24023036
rh_chr4_23092663,chr04,24319866
rh_chr4_23360446,chr04,24583539
rh_chr4_23421280,chr04,24643856
rh_chr4_23599054,chr04,24820953
rh_chr4_23999526,chr04,25213230
rh_chr4_24312358,chr04,25522930
rh_chr4_24558421,chr04,25765412
rh_chr4_2563214,chr04,2565870
rh_chr4_2783868,chr04,2785775
rh_chr4_2840486,chr04,2842262
rh_chr4_2919507,chr04,2921412
rh_chr4_3098243,chr04,3099970
rh_chr4_3237352,chr04,3239036
rh_chr4_3504483,chr04,3513326
rh_chr4_3597502,chr04,3596700
rh_chr4_3661349,chr04,3660675
rh_chr4_3729570,chr04,3728566
rh_chr4_3801978,chr04,3799174
rh_chr4_3893714,chr04,3890986
rh_chr4_4032151,chr01,23975184
rh_chr4_4246018,chr04,4245950
rh_chr4_4437478,chr04,4438062
rh_chr4_4596235,chr04,4596838
rh_chr4_4759072,chr04,4759188
rh_chr4_4948818,chr04,4948250
rh_chr4_5125331,chr04,5124758
rh_chr4_5338718,chr04,5337702
rh_chr4_5421554,chr04,5420560
rh_chr4_5638153,chr04,5632529
rh_chr4_597184,chr04,605266
rh_chr4_6044777,chr04,6036690
rh_chr4_6188563,chr04,6176424
rh_chr4_6277410,chr04,6265363
rh_chr4_6583166,chr04,6564964
rh_chr4_6678764,chr04,6661097
rh_chr4_6752086,chr04,6734480
rh_chr4_6834788,chr04,6817124
rh_chr4_6949649,chr04,6931901
rh_chr4_700172,chr04,708499
rh_chr4_7003711,chr04,6986262
rh_chr4_7185718,chr04,7167894
rh_chr4_7614182,chr04,7606076
rh_chr4_7771974,chr04,7770954
rh_chr4_7897242,chr04,7915182
rh_chr4_8778482,chr04,8795110
rh_chr4_8965154,chr04,8981870
rh_chr4_9107108,chr04,9126169
rh_chr4_9358331,chr04,9369104
rh_chr4_9417403,chr04,9428125
rh_chr4_9541495,chr04,9552099
rh_chr4_9602051,chr04,9612664
rh_chr4_9681702,chr04,9680924
rh_chr4_9800666,chr04,9800192
rh_chr5_10046422,chr05,10247907
rh_chr5_10303059,chr05,10507379
rh_chr5_10381269,chr05,10585494
rh_chr5_10489999,chr05,10694044
rh_chr5_10597598,chr05,10750018
rh_chr5_10680744,chr05,10833233
rh_chr5_10737322,chr05,10889704
rh_chr5_1120092,chr05,1131936
rh_chr5_11411896,chr05,11557571
rh_chr5_11488698,chr05,11633666
rh_chr5_1191282,chr05,1201814
rh_chr5_12027711,chr05,12165425
rh_chr5_12177632,chr05,12297388
rh_chr5_12317731,chr05,12437588
rh_chr5_12436793,chr05,12558596
rh_chr5_1251758,chr05,1262233
rh_chr5_12609891,chr05,12732730
rh_chr5_12684206,chr05,12807030
rh_chr5_1381073,chr05,1386225
rh_chr5_13959256,chr05,15254774
rh_chr5_14113858,chr05,15412842
rh_chr5_14184102,chr05,15481733
rh_chr5_14244942,chr05,15542474
rh_chr5_1449735,chr05,1454868
rh_chr5_14938393,chr05,16249797
rh_chr5_1508886,chr05,1511180
rh_chr5_15156341,chr05,16467224
rh_chr5_15376196,chr05,16678513
rh_chr5_15439188,chr05,16737916
rh_chr5_15494607,chr05,16793251
rh_chr5_15623556,chr05,16922134
rh_chr5_1581158,chr05,1583426
rh_chr5_15849900,chr05,17148849
rh_chr5_16092596,chr05,17391054
rh_chr5_16184048,chr05,17482782
rh_chr5_16270621,chr05,17569962
rh_chr5_1652473,chr05,1654204
rh_chr5_17484208,chr05,18778873
rh_chr5_17567199,chr05,18849084
rh_chr5_17629585,chr05,18910978
rh_chr5_17847538,chr05,19127406
rh_chr5_18637567,chr05,19952988
rh_chr5_18897041,chr05,20211996
rh_chr5_19422363,chr05,20741240
rh_chr5_196931,chr05,209122
rh_chr5_19701010,chr05,21019495
rh_chr5_19843347,chr05,21161587
rh_chr5_20164865,chr05,21469978
rh_chr5_20239419,chr05,21544781
rh_chr5_20317279,chr05,21622461
rh_chr5_20429993,chr05,21735080
rh_chr5_20648848,chr05,21952242
rh_chr5_20859485,chr05,22134084
rh_chr5_21192283,chr05,22450821
rh_chr5_21389712,chr05,22639754
rh_chr5_21582119,chr05,22832028
rh_chr5_2193315,chr05,2408512
rh_chr5_22368206,chr05,23622396
rh_chr5_22424142,chr05,23678264
rh_chr5_22549876,chr05,23801650
rh_chr5_22623177,chr05,23874915
rh_chr5_22732244,chr05,23971772
rh_chr5_22839984,chr05,24079520
rh_chr5_23028493,chr05,24269475
rh_chr5_23266738,chr05,24507689
rh_chr5_2346684,chr05,2557712
rh_chr5_23626031,chr05,24882266
rh_chr5_23735988,chr05,24991833
rh_chr5_23821379,chr05,25135503
rh_chr5_23885642,chr05,25200105
rh_chr5_23941958,chr05,25256482
rh_chr5_24028531,chr05,25342276
rh_chr5_24109446,chr05,25401816
